,label,text_,SentimentText,labels
0,CG,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty","Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",0
1,CG,"love it, a great upgrade from the original.  I've had mine for a couple of years","love it, a great upgrade from the original.  I've had mine for a couple of years",0
2,CG,This pillow saved my back. I love the look and feel of this pillow.,This pillow saved my back. I love the look and feel of this pillow.,0
3,CG,"Missing information on how to use it, but it is a great product for the price!  I","Missing information on how to use it, but it is a great product for the price!  I",0
4,CG,Very nice set. Good quality. We have had the set for two months now and have not been,Very nice set. Good quality. We have had the set for two months now and have not been,0
5,CG,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,0
6,CG,They are the perfect touch for me and the only thing I wish they had a little more space.,They are the perfect touch for me and the only thing I wish they had a little more space.,0
7,CG,These done fit well and look great.  I love the smoothness of the edges and the extra,These done fit well and look great.  I love the smoothness of the edges and the extra,0
8,CG,"Great big numbers & easy to read, the only thing I didn't like is the size of the","Great big numbers & easy to read, the only thing I didn't like is the size of the",0
9,CG,My son loves this comforter and it is very well made.  We also have a baby,My son loves this comforter and it is very well made.  We also have a baby,0
10,CG,As advertised. 5th one I've had. The only problem is that it's not really a,As advertised. 5th one I've had. The only problem is that it's not really a,0
11,CG,Very handy for one of my kids and the tools are included in the package. I have one in,Very handy for one of my kids and the tools are included in the package. I have one in,0
12,CG,"Did someone say, ""Oriental for $60""?  It is a great product for the","Did someone say, ""Oriental for $60""?  It is a great product for the",0
13,CG,These are so flimsy! They are not the quality you would expect from a piece of furniture.,These are so flimsy! They are not the quality you would expect from a piece of furniture.,0
14,CG,Makes may tea with out stirring. The only problem is that it's kind of hard to put,Makes may tea with out stirring. The only problem is that it's kind of hard to put,0
15,CG,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,0
16,CG,Love this!  Perfect size for an entire family!Very good quality.,Love this!  Perfect size for an entire family!Very good quality.,0
17,CG,These look beautiful and so nice. The only problem is that it's not really a mesh one.,These look beautiful and so nice. The only problem is that it's not really a mesh one.,0
18,CG,Exactly what you would expect. I love the look and feel of this pillow.,Exactly what you would expect. I love the look and feel of this pillow.,0
19,CG,"10 Stars, I would highly recommend this item. We love this blanket.","10 Stars, I would highly recommend this item. We love this blanket.",0
20,CG,Great little egg masher.  We have had it for a few months now and it's been,Great little egg masher.  We have had it for a few months now and it's been,0
21,CG,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just","As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",0
22,CG,it is exactly as pictured. I love the look and feel of this pillow.,it is exactly as pictured. I love the look and feel of this pillow.,0
23,CG,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.","Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",0
24,CG,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,","Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",0
25,CG,Easy to use. Seems to be an easy way to make a smoothie for a small person.,Easy to use. Seems to be an easy way to make a smoothie for a small person.,0
26,CG,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,0
27,CG,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has","Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",0
28,CG,So good we bought the second set and they look just like the first one. I am not sure,So good we bought the second set and they look just like the first one. I am not sure,0
29,CG,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,0
30,CG,Received in no time flat.  I love the look.  My husband likes it too.,Received in no time flat.  I love the look.  My husband likes it too.,0
31,CG,These are okay they are not as nice as the ones I got from my local store but they are,These are okay they are not as nice as the ones I got from my local store but they are,0
32,CG,gave them away - thought it would be a good addition to my kitchen!  I am very,gave them away - thought it would be a good addition to my kitchen!  I am very,0
33,CG,"Product is fine, wish it had an option to have a separate handle.","Product is fine, wish it had an option to have a separate handle.",0
34,CG,"Awesome is all I have to say, the materials are good, and the quality is decent.","Awesome is all I have to say, the materials are good, and the quality is decent.",0
35,CG,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,0
36,CG,"Well made, works great.  We have had the wooden part of the cup for a couple of","Well made, works great.  We have had the wooden part of the cup for a couple of",0
37,CG,Bought these to go with my old suction cups. I also love that they are removable and,Bought these to go with my old suction cups. I also love that they are removable and,0
38,CG,Just as expected! Looks great and has the design to make it a nice place for the baby to,Just as expected! Looks great and has the design to make it a nice place for the baby to,0
39,CG,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a","Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",0
40,CG,Does a great job of keeping the suction on. I also love that it doesn't slide.,Does a great job of keeping the suction on. I also love that it doesn't slide.,0
41,CG,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
","SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",0
42,CG,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,0
43,CG,"These towels are real nice, and I love the feel of them.  They have a nice feel","These towels are real nice, and I love the feel of them.  They have a nice feel",0
44,CG,"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty","Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",0
45,CG,"Alright for the price,but was a little disappointed with the quality of the product.","Alright for the price,but was a little disappointed with the quality of the product.",0
46,CG,"Great quality, beautiful color.  We have had the same one for a few months now and love","Great quality, beautiful color.  We have had the same one for a few months now and love",0
47,CG,I put paper in one corner of the cabinet and put a piece of paper in the other corner.,I put paper in one corner of the cabinet and put a piece of paper in the other corner.,0
48,CG,Great stickers but a little small. The only reason I gave it 4 stars is because the one in,Great stickers but a little small. The only reason I gave it 4 stars is because the one in,0
49,CG,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,0
50,CG,Perfect. They do exactly what I need them to do. I will keep them for a long time,Perfect. They do exactly what I need them to do. I will keep them for a long time,0
51,CG,Love this movie & the time it took to finish. I will keep my review for the next time,Love this movie & the time it took to finish. I will keep my review for the next time,0
52,CG,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw","Will not seal properly. Atrocious little ones, they feel like they will break if you throw",0
53,CG,Got these for the third time.  I have a small dog and my son loves to throw them,Got these for the third time.  I have a small dog and my son loves to throw them,0
54,CG,Excellent product and a much better quality than the one you get at Walmart for $50.,Excellent product and a much better quality than the one you get at Walmart for $50.,0
110,CG,"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair","Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair",0
111,CG,Order to place special photos on the wall.  We've had it for a couple of weeks and,Order to place special photos on the wall.  We've had it for a couple of weeks and,0
112,CG,"baby like it! Thermal insulation helps to keep the food warmer.

The thermal insulation helps keep","baby like it! Thermal insulation helps to keep the food warmer.

The thermal insulation helps keep",0
113,CG,"I like it, just wish it had more wide opening. I also love that it's been made","I like it, just wish it had more wide opening. I also love that it's been made",0
114,CG,I love pyrex quality and this set is the best. I will be purchasing more in the future,I love pyrex quality and this set is the best. I will be purchasing more in the future,0
115,CG,"Perfect for additional storage and convenience. The only problem is that it's not really a vacuum, but","Perfect for additional storage and convenience. The only problem is that it's not really a vacuum, but",0
116,CG,These smell great! I'm pretty happy with the quality and quality of this product!This is a,These smell great! I'm pretty happy with the quality and quality of this product!This is a,0
117,CG,The turquoise is almost neon. It's a very bright pink.,The turquoise is almost neon. It's a very bright pink.,0
118,CG,"Easy to hold, and the material is nice and thick. I will keep my shelves in order and","Easy to hold, and the material is nice and thick. I will keep my shelves in order and",0
119,CG,"Works great for chocolate, yogurt, or any other fruit. I also love that it's removable and","Works great for chocolate, yogurt, or any other fruit. I also love that it's removable and",0
